price,area_sqft,location,bhk,is_resale,amenity_gym,lift,parking,amenity_maintenance,amenity_security,amenity_kids_play,amenity_clubhouse,amenity_intercom,amenity_gardens,amenity_indoor_games,amenity_gas,amenity_jogging,amenity_pool,price_per_sqft,amenity_count
9000000,640,goregaon_west,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14062.5,10
21600000,1264,malad_east,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17088.607594936708,10
13700000,1056,kandivali_west,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12973.484848484848,10
27799999,1810,kandivali_east,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15359.11546961326,10
27900000,1656,goregaon_west,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,16847.82608695652,10
81600000,3888,goregaon_west,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,20987.654320987655,10
38600000,2030,borivali_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19014.778325123152,10
17000000,1114,andheri_east,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1,15260.32315978456,7
60100000,3585,goregaon_west,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1,16764.295676429567,9
27900000,1404,goregaon_east,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19871.79487179487,10
31500000,1620,goregaon_east,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19444.444444444445,10
37500000,2780,malad_east,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13489.208633093525,10
31000000,1672,malad_east,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,18540.66985645933,10
21100000,1200,malad_east,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,17583.333333333332,10
16500000,1200,malad_east,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13750.0,10
16000000,1250,borivali_east,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12800.0,10
26000000,1840,borivali_east,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,14130.434782608696,10
15200000,1170,malad_west,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,12991.452991452992,8
2300000,310,kharghar,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7419.354838709677,2
33000000,1245,wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1,26506.024096385543,9
29000000,1153,wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1,25151.77797051171,9
11200000,573,ulwe,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,19546.247818499127,9
9000000,1100,ulwe,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,8181.818181818182,8
8500000,1135,ulwe,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1,7488.98678414097,8
9000000,1060,kharghar,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1,8490.566037735849,9
11500000,560,malad_west,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20535.714285714286,0
